timestamp,engine_id,mission_id,mission_phase,load_fraction,ambient_temperature_c,rpm,oil_temperature_c,coolant_temperature_c,oil_pressure_bar,manifold_pressure_bar,fuel_flow_kg_h,vibration_rms,exhaust_temperature_c,health_index,degradation_index,anomaly,fault_type,rul_hours,mission_duration_hours,mission_completion,data_source
2026-01-01 03:50:00,ENG-020,MISSION-020,landing,0.5718,33.195,3555.705,91.96,102.264,3.481,1.11,3.407,0.5518,628.968,0.2487,0.7513,1,normal,15.342,3.773,1,synthetic_demo_scenario
2026-01-01 03:50:10,ENG-020,MISSION-020,landing,0.5512,32.003,3626.323,89.019,98.617,3.307,1.042,3.241,0.5631,620.325,0.261,0.739,1,normal,18.901,6.115,1,synthetic_demo_scenario
2026-01-01 03:50:20,ENG-020,MISSION-020,landing,0.4896,33.527,3497.45,89.765,98.21,3.361,1.053,2.955,0.6205,620.446,0.2234,0.7766,1,normal,17.986,3.892,1,synthetic_demo_scenario
2026-01-01 03:50:30,ENG-020,MISSION-020,landing,0.5082,33.478,3534.048,89.564,97.84,3.489,1.072,3.203,0.5785,615.362,0.2564,0.7436,1,normal,15.811,4.876,1,synthetic_demo_scenario
2026-01-01 03:50:40,ENG-020,MISSION-020,landing,0.4729,32.846,3412.02,88.445,97.01,3.578,1.022,3.024,0.6003,613.26,0.2118,0.7882,1,normal,17.871,5.447,1,synthetic_demo_scenario
2026-01-01 03:50:50,ENG-020,MISSION-020,landing,0.5255,32.566,3519.515,91.352,98.642,3.572,1.063,3.201,0.6155,640.634,0.2309,0.7691,1,normal,19.696,5.159,1,synthetic_demo_scenario
2026-01-01 03:51:00,ENG-020,MISSION-020,landing,0.5409,32.678,3459.257,92.198,96.37,3.293,1.107,3.347,0.5614,622.473,0.2249,0.7751,1,normal,18.519,6.345,1,synthetic_demo_scenario
2026-01-01 03:51:10,ENG-020,MISSION-020,landing,0.5136,30.578,3500.246,87.849,97.465,3.3,1.07,2.866,0.6165,603.743,0.2632,0.7368,1,normal,14.838,5.184,1,synthetic_demo_scenario
2026-01-01 03:51:20,ENG-020,MISSION-020,landing,0.4576,30.724,3413.888,87.695,97.834,3.524,0.986,2.878,0.5628,612.078,0.2188,0.7812,1,normal,17.732,4.595,1,synthetic_demo_scenario
2026-01-01 03:51:30,ENG-020,MISSION-020,landing,0.5315,32.938,3575.597,92.419,99.891,3.456,1.101,3.242,0.5915,620.38,0.244,0.756,1,normal,14.261,2.102,1,synthetic_demo_scenario
2026-01-01 03:51:40,ENG-020,MISSION-020,landing,0.5013,33.923,3451.127,86.186,99.037,3.708,1.043,2.999,0.5684,603.955,0.2621,0.7379,1,normal,16.311,2.239,1,synthetic_demo_scenario
2026-01-01 03:51:50,ENG-020,MISSION-020,landing,0.5329,32.417,3553.244,93.284,100.04,3.425,1.084,3.041,0.5935,629.416,0.2609,0.7391,1,normal,15.113,4.835,1,synthetic_demo_scenario
2026-01-01 03:52:00,ENG-020,MISSION-020,landing,0.4882,30.954,3482.71,88.101,96.785,3.492,1.031,2.923,0.5367,631.784,0.2834,0.7166,1,normal,15.366,2.211,1,synthetic_demo_scenario
2026-01-01 03:52:10,ENG-020,MISSION-020,landing,0.4658,33.459,3432.684,88.844,96.917,3.61,1.004,2.994,0.5983,610.861,0.2104,0.7896,1,normal,14.945,2.462,0,synthetic_demo_scenario
2026-01-01 03:52:20,ENG-020,MISSION-020,landing,0.5082,35.093,3486.257,89.91,98.981,3.271,1.042,2.898,0.5826,629.214,0.2259,0.7741,1,normal,16.157,3.134,1,synthetic_demo_scenario
2026-01-01 03:52:30,ENG-020,MISSION-020,landing,0.5015,33.949,3464.967,92.648,94.374,3.463,0.989,3.048,0.5571,613.881,0.2517,0.7483,1,normal,15.983,2.238,1,synthetic_demo_scenario
2026-01-01 03:52:40,ENG-020,MISSION-020,landing,0.5047,34.488,3469.224,91.217,98.258,3.503,1.043,3.199,0.6415,626.559,0.2262,0.7738,1,normal,15.644,5.831,1,synthetic_demo_scenario
2026-01-01 03:52:50,ENG-020,MISSION-020,landing,0.5169,32.417,3527.657,90.466,97.276,3.385,1.085,3.209,0.578,629.532,0.2192,0.7808,1,normal,14.641,5.98,1,synthetic_demo_scenario
2026-01-01 03:53:00,ENG-020,MISSION-020,landing,0.5026,33.228,3501.366,90.064,99.67,3.242,1.056,3.016,0.6435,615.298,0.223,0.777,1,normal,15.88,5.391,0,synthetic_demo_scenario
2026-01-01 03:53:10,ENG-020,MISSION-020,landing,0.4751,33.592,3395.952,87.972,95.621,3.587,1.03,3.098,0.5996,603.122,0.2214,0.7786,1,normal,15.769,2.043,1,synthetic_demo_scenario
2026-01-01 03:53:20,ENG-020,MISSION-020,landing,0.4604,32.675,3373.395,90.592,93.435,3.427,1.024,2.913,0.5591,608.044,0.2042,0.7958,1,normal,9.79,5.263,0,synthetic_demo_scenario
2026-01-01 03:53:30,ENG-020,MISSION-020,landing,0.4812,32.72,3436.367,87.572,97.861,3.514,1.068,3.092,0.6151,607.561,0.2311,0.7689,1,normal,13.409,7.798,1,synthetic_demo_scenario
2026-01-01 03:53:40,ENG-020,MISSION-020,landing,0.5029,31.33,3504.347,92.046,96.199,3.382,1.082,3.128,0.6251,623.432,0.2156,0.7844,1,normal,10.541,3.368,0,synthetic_demo_scenario
2026-01-01 03:53:50,ENG-020,MISSION-020,landing,0.4611,32.326,3460.914,88.777,94.924,3.673,1.022,2.972,0.5882,609.137,0.2223,0.7777,1,normal,12.349,6.998,0,synthetic_demo_scenario
2026-01-01 03:54:00,ENG-020,MISSION-020,landing,0.5163,32.702,3529.403,88.279,101.409,3.574,1.082,3.109,0.6134,631.236,0.2416,0.7584,1,normal,14.483,2.315,1,synthetic_demo_scenario
2026-01-01 03:54:10,ENG-020,MISSION-020,landing,0.5122,32.814,3489.013,89.528,99.088,3.581,1.068,3.108,0.5988,627.121,0.2534,0.7466,1,normal,16.373,5.97,0,synthetic_demo_scenario
2026-01-01 03:54:20,ENG-020,MISSION-020,landing,0.4522,34.46,3374.047,87.051,96.097,3.399,1.033,2.934,0.6165,608.201,0.2061,0.7939,1,normal,11.444,4.574,1,synthetic_demo_scenario
2026-01-01 03:54:30,ENG-020,MISSION-020,landing,0.5734,31.142,3669.769,93.727,99.854,3.458,1.12,3.112,0.5872,631.115,0.264,0.736,1,normal,14.626,7.333,0,synthetic_demo_scenario
2026-01-01 03:54:40,ENG-020,MISSION-020,landing,0.4932,33.33,3439.311,87.69,99.675,3.514,1.058,3.278,0.5945,612.436,0.1969,0.8031,1,normal,13.547,5.104,0,synthetic_demo_scenario
2026-01-01 03:54:50,ENG-020,MISSION-020,landing,0.4715,32.003,3362.104,89.1,97.768,3.554,1.022,3.124,0.6055,614.626,0.19,0.81,1,normal,9.413,3.769,0,synthetic_demo_scenario
2026-01-01 03:55:00,ENG-020,MISSION-020,landing,0.4727,32.045,3478.723,87.411,96.867,3.639,0.995,3.156,0.6024,609.517,0.2196,0.7804,1,normal,10.873,2.186,0,synthetic_demo_scenario
2026-01-01 03:55:10,ENG-020,MISSION-020,landing,0.441,30.539,3371.744,87.886,95.035,3.789,1.035,3.017,0.5514,591.518,0.2776,0.7224,1,normal,12.383,2.381,0,synthetic_demo_scenario
2026-01-01 03:55:20,ENG-020,MISSION-020,landing,0.5227,33.535,3478.395,90.432,100.398,3.575,1.053,3.287,0.5858,619.875,0.2092,0.7908,1,normal,13.437,3.42,1,synthetic_demo_scenario
2026-01-01 03:55:30,ENG-020,MISSION-020,landing,0.5142,34.671,3482.08,90.424,96.38,3.437,1.067,3.16,0.6149,624.327,0.2059,0.7941,1,normal,11.091,4.767,0,synthetic_demo_scenario
2026-01-01 03:55:40,ENG-020,MISSION-020,landing,0.4873,32.849,3444.57,90.665,97.07,3.413,1.016,3.047,0.5945,611.204,0.2294,0.7706,1,normal,12.244,4.58,1,synthetic_demo_scenario
2026-01-01 03:55:50,ENG-020,MISSION-020,landing,0.4964,33.377,3432.409,87.785,97.954,3.365,1.049,3.006,0.5871,606.947,0.2596,0.7404,1,normal,12.888,4.913,1,synthetic_demo_scenario
2026-01-01 03:56:00,ENG-020,MISSION-020,landing,0.4682,33.014,3444.369,89.118,96.729,3.612,1.044,2.962,0.5671,620.133,0.2169,0.7831,1,normal,12.522,6.312,1,synthetic_demo_scenario
2026-01-01 03:56:10,ENG-020,MISSION-020,landing,0.4947,33.207,3495.524,89.073,100.339,3.448,1.056,2.921,0.6407,618.065,0.1908,0.8092,1,normal,12.244,6.836,0,synthetic_demo_scenario
2026-01-01 03:56:20,ENG-020,MISSION-020,landing,0.4827,32.85,3477.347,90.947,97.98,3.288,1.031,3.121,0.6147,606.411,0.2098,0.7902,1,normal,9.168,4.316,1,synthetic_demo_scenario
2026-01-01 03:56:30,ENG-020,MISSION-020,landing,0.4914,33.407,3456.467,88.469,95.06,3.548,1.057,3.104,0.5713,620.257,0.2042,0.7958,1,normal,13.623,4.891,1,synthetic_demo_scenario
2026-01-01 03:56:40,ENG-020,MISSION-020,landing,0.5543,32.909,3542.778,92.141,98.859,3.707,1.071,3.292,0.6133,636.344,0.2211,0.7789,1,normal,10.017,3.397,0,synthetic_demo_scenario
2026-01-01 03:56:50,ENG-020,MISSION-020,landing,0.4802,33.213,3420.278,90.916,99.087,3.653,1.042,2.94,0.6293,617.152,0.1915,0.8085,1,normal,12.138,4.339,1,synthetic_demo_scenario
2026-01-01 03:57:00,ENG-020,MISSION-020,landing,0.4729,32.415,3445.926,88.156,97.55,3.635,1.06,3.101,0.575,603.433,0.2188,0.7812,1,normal,12.315,7.751,1,synthetic_demo_scenario
2026-01-01 03:57:10,ENG-020,MISSION-020,landing,0.4702,33.195,3439.458,90.76,97.223,3.524,1.022,2.871,0.6228,598.645,0.2085,0.7915,1,normal,12.624,3.966,1,synthetic_demo_scenario
2026-01-01 03:57:20,ENG-020,MISSION-020,landing,0.5455,33.195,3485.873,90.861,100.381,3.207,1.071,3.213,0.6065,630.713,0.2157,0.7843,1,normal,7.393,6.45,1,synthetic_demo_scenario
2026-01-01 03:57:30,ENG-020,MISSION-020,landing,0.471,33.2,3444.656,84.48,96.158,3.132,1.009,3.123,0.5711,601.44,0.2039,0.7961,1,normal,9.684,4.794,0,synthetic_demo_scenario
2026-01-01 03:57:40,ENG-020,MISSION-020,landing,0.5206,31.913,3480.534,89.5,99.44,3.438,1.053,3.189,0.6151,625.889,0.2226,0.7774,1,normal,7.653,3.847,0,synthetic_demo_scenario
2026-01-01 03:57:50,ENG-020,MISSION-020,landing,0.5256,32.649,3520.277,93.793,102.858,3.377,1.063,3.148,0.6267,620.143,0.2171,0.7829,1,normal,7.86,4.45,0,synthetic_demo_scenario
2026-01-01 03:58:00,ENG-020,MISSION-020,landing,0.5148,33.995,3512.366,89.018,98.246,3.654,1.076,3.159,0.5979,614.618,0.2249,0.7751,1,normal,9.168,2.333,0,synthetic_demo_scenario
2026-01-01 03:58:10,ENG-020,MISSION-020,landing,0.512,32.586,3541.376,91.342,101.769,3.458,1.102,3.005,0.5758,627.472,0.2159,0.7841,1,normal,4.075,6.518,0,synthetic_demo_scenario
2026-01-01 03:58:20,ENG-020,MISSION-020,landing,0.5107,32.736,3482.388,94.998,99.44,3.309,1.006,3.156,0.6247,623.801,0.1912,0.8088,1,normal,11.967,6.4,1,synthetic_demo_scenario
2026-01-01 03:58:30,ENG-020,MISSION-020,landing,0.5065,33.192,3457.631,89.586,103.344,3.552,1.06,3.063,0.6058,615.092,0.1946,0.8054,1,normal,13.254,6.773,0,synthetic_demo_scenario
2026-01-01 03:58:40,ENG-020,MISSION-020,landing,0.5535,32.97,3561.685,89.792,101.421,3.449,1.103,3.231,0.6399,632.999,0.2349,0.7651,1,normal,11.46,6.772,1,synthetic_demo_scenario
2026-01-01 03:58:50,ENG-020,MISSION-020,landing,0.4474,35.412,3367.829,87.886,93.05,3.554,1.016,3.027,0.5739,601.977,0.2301,0.7699,1,normal,11.161,2.695,0,synthetic_demo_scenario
2026-01-01 03:59:00,ENG-020,MISSION-020,landing,0.5355,34.272,3583.706,93.129,100.692,3.573,1.049,3.256,0.6436,632.204,0.2086,0.7914,1,normal,6.656,4.834,0,synthetic_demo_scenario
2026-01-01 03:59:10,ENG-020,MISSION-020,landing,0.501,32.307,3436.164,88.439,96.311,3.503,1.07,3.098,0.6089,616.408,0.2216,0.7784,1,normal,6.414,5.247,1,synthetic_demo_scenario
2026-01-01 03:59:20,ENG-020,MISSION-020,landing,0.5171,33.463,3475.405,90.865,101.682,3.579,1.046,3.103,0.5713,618.069,0.2412,0.7588,1,normal,8.293,5.219,0,synthetic_demo_scenario
2026-01-01 03:59:30,ENG-020,MISSION-020,landing,0.4327,31.386,3371.429,87.536,95.729,3.42,1.009,2.918,0.5794,596.934,0.223,0.777,1,normal,13.826,6.615,1,synthetic_demo_scenario
2026-01-01 03:59:40,ENG-020,MISSION-020,landing,0.4987,33.863,3480.694,87.955,97.218,3.413,1.017,3.254,0.6051,612.891,0.2052,0.7948,1,normal,4.08,5.679,0,synthetic_demo_scenario
2026-01-01 03:59:50,ENG-020,MISSION-020,landing,0.4796,33.439,3403.187,89.773,95.72,3.318,1.041,3.152,0.5945,622.639,0.2132,0.7868,1,normal,7.856,2.496,0,synthetic_demo_scenario
2026-01-01 04:00:00,ENG-020,MISSION-020,landing,0.4774,34.646,3462.766,90.874,96.079,3.317,0.996,2.995,0.6185,611.518,0.194,0.806,1,normal,8.967,4.226,1,synthetic_demo_scenario
2026-01-01 04:00:10,ENG-020,MISSION-020,landing,0.4765,35.169,3364.752,92.742,96.575,3.472,0.987,2.979,0.6143,605.105,0.1881,0.8119,1,normal,13.107,4.388,1,synthetic_demo_scenario
2026-01-01 04:00:20,ENG-020,MISSION-020,landing,0.4578,31.874,3412.908,88.16,95.007,3.687,1.043,3.076,0.6368,617.73,0.1955,0.8045,1,normal,10.272,6.302,1,synthetic_demo_scenario
2026-01-01 04:00:30,ENG-020,MISSION-020,landing,0.5262,34.184,3566.263,92.771,103.198,3.556,1.057,3.138,0.644,622.894,0.1999,0.8001,1,normal,9.681,5.854,0,synthetic_demo_scenario
2026-01-01 04:00:40,ENG-020,MISSION-020,landing,0.5733,34.512,3576.803,92.214,102.848,3.253,1.102,3.493,0.6269,639.753,0.2104,0.7896,1,normal,9.399,7.661,1,synthetic_demo_scenario
