timestamp,engine_id,mission_id,mission_phase,load_fraction,ambient_temperature_c,rpm,oil_temperature_c,coolant_temperature_c,oil_pressure_bar,manifold_pressure_bar,fuel_flow_kg_h,vibration_rms,exhaust_temperature_c,health_index,degradation_index,anomaly,fault_type,rul_hours,mission_duration_hours,mission_completion
2026-01-01 00:00:00,ENG-001,MISSION-001,takeoff,0.8602,23.214,4291.615,93.898,97.342,4.136,1.377,3.75,0.2622,665.058,0.9345,0.0655,0,normal,222.779,2.737,1
2026-01-01 00:00:10,ENG-001,MISSION-001,takeoff,0.8581,26.347,4273.819,88.092,97.011,4.029,1.358,3.767,0.2828,662.943,0.9587,0.0413,0,normal,220.087,3.811,1
2026-01-01 00:00:20,ENG-001,MISSION-001,takeoff,0.9264,23.52,4427.477,94.289,100.933,4.04,1.395,3.853,0.2923,681.625,0.9264,0.0736,0,normal,220.646,4.666,1
2026-01-01 00:00:30,ENG-001,MISSION-001,takeoff,0.8916,26.09,4244.533,93.739,99.856,3.929,1.379,3.739,0.2869,670.663,0.923,0.077,0,normal,216.053,7.181,1
2026-01-01 00:00:40,ENG-001,MISSION-001,takeoff,0.8726,24.337,4268.609,92.491,91.561,4.313,1.393,3.813,0.2474,661.64,0.975,0.025,0,normal,221.771,7.388,1
2026-01-01 00:00:50,ENG-001,MISSION-001,takeoff,0.8975,27.144,4301.398,92.12,99.512,4.449,1.411,3.797,0.3038,668.038,0.9632,0.0368,0,normal,217.813,7.721,1
2026-01-01 00:01:00,ENG-001,MISSION-001,takeoff,0.8062,26.166,4087.78,86.864,93.84,4.253,1.33,3.477,0.2417,647.17,0.9374,0.0626,0,normal,216.513,2.602,1
2026-01-01 00:01:10,ENG-001,MISSION-001,takeoff,0.8785,24.101,4318.526,91.518,95.004,4.041,1.405,3.924,0.2601,665.833,0.9454,0.0546,0,normal,223.088,3.777,1
2026-01-01 00:01:20,ENG-001,MISSION-001,takeoff,0.9499,24.255,4392.168,94.705,99.77,3.715,1.461,3.975,0.2531,671.653,0.9399,0.0601,0,normal,220.57,4.777,1
2026-01-01 00:01:30,ENG-001,MISSION-001,takeoff,0.8846,26.126,4319.837,91.652,98.764,3.922,1.404,3.955,0.2822,657.856,0.9549,0.0451,0,normal,221.122,5.85,1
2026-01-01 00:01:40,ENG-001,MISSION-001,takeoff,0.8824,25.129,4365.83,95.084,95.295,4.265,1.366,3.854,0.2663,657.944,0.9236,0.0764,0,normal,219.669,6.217,1
2026-01-01 00:01:50,ENG-001,MISSION-001,takeoff,0.8992,25.285,4299.832,92.046,100.092,3.937,1.404,3.928,0.2711,677.135,0.9254,0.0746,0,normal,218.153,6.716,1
2026-01-01 00:02:00,ENG-001,MISSION-001,takeoff,0.9113,27.06,4320.93,94.902,100.762,4.02,1.414,3.906,0.2652,683.171,0.9381,0.0619,0,normal,217.54,4.975,1
2026-01-01 00:02:10,ENG-001,MISSION-001,takeoff,0.8101,24.679,4163.464,90.752,95.861,4.24,1.306,3.378,0.272,631.521,0.9189,0.0811,0,normal,220.04,5.34,1
2026-01-01 00:02:20,ENG-001,MISSION-001,takeoff,0.8211,25.731,4215.208,92.367,94.611,4.344,1.296,3.556,0.2346,659.642,0.9307,0.0693,0,normal,220.777,7.763,1
2026-01-01 00:02:30,ENG-001,MISSION-001,takeoff,0.8874,26.811,4278.664,92.862,96.498,4.096,1.335,3.836,0.2087,664.734,0.9545,0.0455,0,normal,217.628,3.44,1
2026-01-01 00:02:40,ENG-001,MISSION-001,takeoff,0.855,26.681,4216.483,93.473,99.336,4.078,1.362,3.803,0.2826,664.462,0.9323,0.0677,0,normal,222.833,6.823,1
2026-01-01 00:02:50,ENG-001,MISSION-001,takeoff,0.9259,25.563,4401.405,94.386,96.576,4.083,1.421,3.78,0.218,677.579,0.9561,0.0439,0,normal,217.012,6.271,1
2026-01-01 00:03:00,ENG-001,MISSION-001,takeoff,0.869,25.452,4273.539,93.623,99.785,4.019,1.34,3.807,0.3002,671.797,0.9229,0.0771,0,normal,213.873,2.841,1
2026-01-01 00:03:10,ENG-001,MISSION-001,takeoff,0.8123,23.756,4096.023,87.65,95.04,4.122,1.356,3.527,0.2984,647.2,0.9395,0.0605,0,normal,212.908,7.559,1
2026-01-01 00:03:20,ENG-001,MISSION-001,takeoff,0.8356,24.62,4164.868,86.658,96.093,4.215,1.351,3.729,0.2583,642.079,0.9418,0.0582,0,normal,212.845,7.132,1
2026-01-01 00:03:30,ENG-001,MISSION-001,takeoff,0.7838,26.313,4174.082,89.448,91.625,4.266,1.344,3.548,0.2807,636.739,0.9507,0.0493,0,normal,215.883,6.677,1
2026-01-01 00:03:40,ENG-001,MISSION-001,takeoff,0.8718,25.81,4277.719,93.856,97.879,4.336,1.38,3.899,0.2824,666.558,0.9163,0.0837,0,normal,216.191,2.761,1
2026-01-01 00:03:50,ENG-001,MISSION-001,takeoff,0.8734,26.109,4245.124,93.554,98.967,4.169,1.347,3.922,0.3097,660.002,0.941,0.059,0,normal,218.331,2.838,1
2026-01-01 00:04:00,ENG-001,MISSION-001,takeoff,0.8651,27.311,4252.849,91.42,95.339,4.273,1.38,3.835,0.2541,663.609,0.9458,0.0542,0,normal,216.406,6.099,1
2026-01-01 00:04:10,ENG-001,MISSION-001,takeoff,0.9178,24.683,4348.397,97.081,99.93,3.938,1.423,4.028,0.2167,672.337,0.9443,0.0557,0,normal,218.439,2.644,1
2026-01-01 00:04:20,ENG-001,MISSION-001,takeoff,0.9219,25.868,4377.275,94.232,99.828,4.099,1.394,3.928,0.2834,670.92,0.9282,0.0718,0,normal,216.296,2.68,1
2026-01-01 00:04:30,ENG-001,MISSION-001,takeoff,0.874,26.422,4223.168,93.665,96.945,4.014,1.338,4.105,0.3179,654.814,0.9311,0.0689,0,normal,216.071,4.402,1
2026-01-01 00:04:40,ENG-001,MISSION-001,takeoff,0.8053,25.394,4124.184,91.09,97.115,4.233,1.327,3.502,0.2767,641.871,0.9301,0.0699,0,normal,214.447,2.032,1
